                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 0.8419,                0.40153,                 1.1413,                0.99682,                      1,                0.99477,                0.79788,                0.86941,                 0.3409,                 1.1815,              0.0007723,              0.0007723,              0.0007723
                    118,                0.83994,                0.41186,                 1.1424,                0.98561,                0.99713,                0.99399,                0.77879,                0.87233,                 0.3432,                 1.1861,             0.00077032,             0.00077032,             0.00077032
                    119,                0.83878,                0.40488,                 1.1371,                0.98863,                0.99971,                0.99474,                0.78918,                0.88577,                0.34725,                 1.1879,             0.00076834,             0.00076834,             0.00076834
                    120,                0.84711,                0.40721,                 1.1374,                0.99406,                      1,                 0.9943,                0.79018,                 0.8967,                0.33114,                 1.2171,             0.00076636,             0.00076636,             0.00076636
                    121,                0.83713,                0.40762,                 1.1382,                 0.9949,                      1,                0.99477,                0.73426,                0.93814,                0.51825,                 1.2373,             0.00076438,             0.00076438,             0.00076438
                    122,                0.85613,                0.40499,                 1.1516,                0.98799,                      1,                0.99457,                 0.7791,                0.88279,                0.34808,                 1.1951,              0.0007624,              0.0007624,              0.0007624
                    123,                0.83274,                0.40358,                 1.1395,                0.99313,                      1,                0.99471,                 0.7754,                0.87562,                0.33882,                 1.1925,             0.00076042,             0.00076042,             0.00076042
                    124,                0.82573,                0.39644,                 1.1314,                 0.9942,                      1,                0.99463,                0.79417,                0.88708,                0.33842,                  1.195,             0.00075844,             0.00075844,             0.00075844
                    125,                0.81869,                0.39518,                 1.1342,                0.99614,                      1,                0.99423,                0.78723,                0.87099,                0.33973,                 1.1861,             0.00075646,             0.00075646,             0.00075646
                    126,                0.83199,                0.39444,                  1.147,                0.99675,                      1,                0.99446,                0.78354,                 0.9035,                0.34484,                 1.2209,             0.00075448,             0.00075448,             0.00075448
                    127,                0.84961,                0.40498,                 1.1526,                0.99687,                      1,                0.99463,                0.77973,                0.91147,                0.35164,                 1.2266,              0.0007525,              0.0007525,              0.0007525
                    128,                0.81955,                0.40719,                 1.1326,                0.99687,                      1,                0.99468,                0.78497,                0.89067,                0.34271,                 1.2024,             0.00075052,             0.00075052,             0.00075052
                    129,                0.83451,                 0.4061,                 1.1346,                0.99644,                      1,                0.99489,                0.79289,                0.90067,                0.33486,                 1.1934,             0.00074854,             0.00074854,             0.00074854
                    130,                0.82235,                0.40529,                 1.1327,                0.03409,                0.83333,                 0.0316,                 0.0225,                0.99341,                    inf,                  1.458,             0.00074656,             0.00074656,             0.00074656
                    131,                 0.8043,                0.38629,                 1.1311,                0.99689,                      1,                0.99443,                0.78801,                0.88206,                0.33317,                 1.2092,             0.00074458,             0.00074458,             0.00074458
                    132,                0.85183,                0.40283,                 1.1583,                0.98841,                      1,                0.99427,                0.80248,                0.87311,                 0.3304,                 1.1991,              0.0007426,              0.0007426,              0.0007426
                    133,                0.81893,                0.40148,                 1.1418,                0.99641,                      1,                0.99426,                 0.7942,                0.87277,                0.33927,                 1.2025,             0.00074062,             0.00074062,             0.00074062
